video_id,title,topic,confidence,scores
d8d9EZHU7fw,Securing AI Agents with Zero Trust,ai-llms,0.357,"{""ai-llms"": 5, ""business"": 1, ""faith"": 0, ""finance-investing"": 1, ""hardware-homelab"": 0, ""software-engineering"": 3}"
pAIF7vZm5k0,Agent memory resolved?,ai-llms,0.286,"{""ai-llms"": 4, ""business"": 4, ""faith"": 0, ""finance-investing"": 2, ""hardware-homelab"": 0, ""software-engineering"": 3}"
kcOowmrVI7k,How to prompt Gemini 3.1 for Epic animations,ai-llms,0.214,"{""ai-llms"": 3, ""business"": 0, ""faith"": 0, ""finance-investing"": 0, ""hardware-homelab"": 0, ""software-engineering"": 1}"
fG95XsBO5U4,Why MCP is dead & How I vibe now,ai-llms,0.286,"{""ai-llms"": 4, ""business"": 1, ""faith"": 0, ""finance-investing"": 1, ""hardware-homelab"": 1, ""software-engineering"": 2}"
3wglqgskzjQ,Anthropic killed Tool calling,ai-llms,0.429,"{""ai-llms"": 6, ""business"": 0, ""faith"": 0, ""finance-investing"": 1, ""hardware-homelab"": 1, ""software-engineering"": 4}"
u2xcbJNhZIY,The Exact Claude Setup That Writes My Documents Automatically,ai-llms,0.500,"{""ai-llms"": 7, ""business"": 1, ""faith"": 0, ""finance-investing"": 0, ""hardware-homelab"": 0, ""software-engineering"": 3}"
NjjEkmP2C8k,"Don’t Outsource Your Thinking"" to your Agent",ai-llms,0.500,"{""ai-llms"": 7, ""business"": 1, ""faith"": 0, ""finance-investing"": 1, ""hardware-homelab"": 0, ""software-engineering"": 4}"
8dVCSPXG6Mw,Anthropic Just Killed Tool Calling,ai-llms,0.571,"{""ai-llms"": 8, ""business"": 0, ""faith"": 0, ""finance-investing"": 0, ""hardware-homelab"": 1, ""software-engineering"": 3}"
WKpCrvwyXB8,How to Transplant Your ChatGPT Brain into Claude (AI Memory Transfer),ai-llms,0.286,"{""ai-llms"": 4, ""business"": 1, ""faith"": 0, ""finance-investing"": 0, ""hardware-homelab"": 0, ""software-engineering"": 1}"
TlC7jq4ooSM,"Stop Prompting, Start Engineering: The ""Context as Code"" Shift",ai-llms,0.500,"{""ai-llms"": 7, ""business"": 3, ""faith"": 0, ""finance-investing"": 0, ""hardware-homelab"": 0, ""software-engineering"": 7}"
7xTGNNLPyMI,Deep Dive into LLMs like ChatGPT,ai-llms,0.357,"{""ai-llms"": 5, ""business"": 0, ""faith"": 0, ""finance-investing"": 2, ""hardware-homelab"": 0, ""software-engineering"": 2}"
